consumer_id,ae264e3637204a6fb9bb56bc8210ddfd_type_sensitivity,4d5c57ea9a6940dd891ad53e9dbe8da0_type_sensitivity,9b98b8c7a33c4b65b9aebfe6a799e6d9_type_sensitivity,0b1e1539f2cc45b7b9fa7c272da2e1d7_type_sensitivity,2298d6c36e964ae4a3e7e9706d1fb8c2_type_sensitivity,fafdcd668e3743c1bb461111dcafc2a4_type_sensitivity,f19421c1d4aa40978ebb69ca19b0e20d_type_sensitivity,2906b810c7d4411798c6938adc9daaa5_type_sensitivity
0009655768c64bdeb2e877511632db8f,-0.1714,-0.1714,-0.3428,-0.0857,-0.24485714285714286,1.039475,0.7640000000000001,-0.1714
00116118485d4dfda04fdbaba9a87b5c,0.0,0.0,0.0,0.0,0.0,0.0,0.015555555555555555,0.0
0011e0d4e6b944f998e987f904e8c1e5,0.0,0.0,1.544,0.2702,0.24346938775510202,0.0,0.0,0.0
0020c2b971eb4e9188eac86d93036a77,0.0,0.34479999999999994,0.0,0.0,0.0,0.9833000000000001,0.0,0.0
0020ccbbb6d84e358d3414a3ff76cffd,-1.0859999999999999,-1.0859999999999999,-1.579,-0.5429999999999999,-0.600612244897959,-1.0859999999999999,0.0,-1.0859999999999999
003d66b6608740288d6cc97a6903f4f0,-0.2996,-0.2996,-0.5992,-0.1498,-0.428,-0.036799999999999986,-0.5992,-0.2996
00426fe3ffde4c6b9cb9ad6d077a13ea,-0.09440000000000001,-0.09440000000000001,-0.18880000000000002,-0.047200000000000006,-0.13485714285714287,0.20309999999999997,-0.18880000000000002,-0.09440000000000001
004b041fbfe44859945daa2c7f79ee64,-1.2978,-1.2978,-2.5956,-0.6489,-1.8539999999999999,-0.9656333333333332,-1.4788,-1.2978
004c5799adbf42868b9cff0396190900,-2.1414,-2.1414,-4.2828,-1.0707,-3.0591428571428567,-0.5317076923076922,-1.213466666666666,-2.1414
005500a7188546ff8a767329a2f7c76a,0.11311111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0056df74b63b4298809f0b375a304cf4,-0.5518,-0.5518,-0.3076,-0.2759,0.635047619047619,-0.5518,-1.1036,-0.5518
0063def0f9c14bc4805322a488839b32,-0.018371428571428573,-0.0478,-0.0956,-0.0239,-0.019510204081632652,-0.0478,-0.0956,-0.0478
0069a50874d846438e58acff5e594725,-0.0842,-0.0842,-0.1684,-0.0421,-0.12028571428571429,-0.0842,-0.1684,0.1028
00715b6e55c3431cb56ff7307eb19675,0.3291428571428572,-1.2109999999999999,-2.4219999999999997,0.11200000000000002,-1.73,-1.2109999999999999,-2.4219999999999997,-0.547142857142857
0082fd87c18f45f2be70dbcbb0fb8aad,-0.5638,-0.5638,-0.32217142857142866,-0.2819,-0.8054285714285714,-0.5638,-1.1276,-0.5638
00840a2ca5d2408e982d56544dc14ffd,-0.08,-0.08,-0.16,-0.04,-0.1142857142857143,0.11840000000000003,-0.16,0.35157142857142853
00857b24b13f4fe0ad17b605f00357f5,0.06642857142857143,0.0182,0.0,0.0,0.0,0.0,0.0,0.0
008d7088107b468893889da0ede0df5c,-0.029142857142857147,-0.10200000000000001,-0.20400000000000001,-0.051000000000000004,-0.1457142857142857,-0.10200000000000001,-0.084,-0.10200000000000001
0091d2b6a5ea4defaa8393e4e816db60,-2.532,-2.072,-5.064,-0.31435000000000013,-3.617142857142857,-2.532,-1.9684444444444442,-2.532
0092a132ead946ceb30d11a1ed513d20,0.009257142857142858,-0.009600000000000001,0.0019428571428571433,-0.0048000000000000004,-0.003918367346938775,-0.009600000000000001,0.010399999999999998,-0.009600000000000001
0099bf30e4cb4265875266eb3eb25eab,-1.6176,-1.3443999999999998,-3.2352,-0.8088,-2.3108571428571425,-1.4655999999999998,-3.2352,-1.5022666666666666
009d10c2c38a4fd795a7bc6ddbbddb78,0.0,0.0,0.0,0.0036,0.02835164835164835,0.0,0.1004,0.001
00a794f62b9a48beb58f8f6c02c2f1a6,-0.281,-0.1618,-0.562,-0.1405,-0.4014285714285714,-0.281,1.3279999999999998,-0.281
00ad4c2cace94f67a6354ec90d6c6f45,-0.14120000000000002,-0.026200000000000022,0.0007428571428571118,-0.07060000000000001,-0.099265306122449,-0.14120000000000002,-0.28240000000000004,-0.14120000000000002
00ae03011f9f49b8a4b3e6d416678b0b,-0.9407714285714283,-1.8601999999999996,-3.7203999999999993,-0.9300999999999998,-0.061595238095238,-1.8601999999999996,-3.7203999999999993,-1.8601999999999996
00aee28bbb3848dd8a31f0c91dc267dd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00b18b535d6d4f779dea4dc9ac451478,0.0,0.0,0.0,0.0,1.1151020408163266,0.39949999999999997,0.0,0.0
00b3400e4ff64ee68ce9ada1d0c222f0,-0.47759999999999997,-0.47759999999999997,-0.9551999999999999,-0.23879999999999998,-0.6822857142857143,0.8760666666666668,-0.9551999999999999,-0.47759999999999997
00b3c376db2a4115af3aef34a02f61d6,0.1265142857142858,2.3496,-1.0584,-0.2646,-0.756,-0.5292,-1.0584,-0.5292
00b5fb9d842d437e83033ad9e36f7148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05557142857142857
00b901d68f8f4fd68075184cd0f772d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00bbce6533f44ddeaf4dd32bcab55441,-0.2708,-0.2708,-0.19702857142857141,-0.1354,-0.38685714285714284,-0.2708,-0.5416,-0.006371428571428517
00bc42a62f884b41a13cc595856cf7c3,0.10697142857142858,-0.3406,-0.6812,-0.1703,0.27710204081632656,0.5320666666666666,-0.6812,-0.05717142857142861
00bc983061d3471e8c8e74d31b7c8b6f,0.4791428571428572,-0.42799999999999994,-0.8559999999999999,-0.21399999999999997,-0.6114285714285713,-0.42799999999999994,-0.8559999999999999,-0.42799999999999994
00c20a9202d5475190b31a24de6fb06d,-1.0071999999999999,0.3247999999999999,-2.0143999999999997,-0.027885714285714246,-0.41110204081632645,-1.0071999999999999,-1.1111999999999997,-1.0071999999999999
00c2f812f4604c8893152a5c6572030e,-1.7094,-1.7094,-3.4188,-0.8547,-2.442,-1.4673000000000003,-3.4188,-1.7094
00c32a104f0c4065b5b552895fb22e34,-0.021,0.09759999999999999,-0.042,-0.0105,-0.030000000000000002,-0.021,-0.042,-0.021
00c5a385c71a4d3db5e9b4e31e430943,0.0,0.0,0.0,0.0,0.0,0.0195,0.0,0.0
00c6035df45840038a72766c6d27a0db,0.3417428571428571,-0.8164,-1.6328,-0.4082,0.4815714285714289,-0.3896,-1.6328,-0.8164
00c91f31f5f74e769fa7a359b63e1a9f,-1.1376000000000002,-1.1376000000000002,-2.2752000000000003,-0.5688000000000001,-0.6588791208791209,-0.6542000000000001,-2.2752000000000003,-1.1376000000000002
00ceaf16a40341e6996d543d04daa2c2,0.008399999999999996,0.0,-0.17920000000000003,-0.044800000000000006,-0.07121428571428573,-0.08960000000000001,0.17639999999999997,-0.08960000000000001
00cf1bbec83f4a658f8994e556db4633,0.0,0.0,0.0,0.0,0.0,0.16640000000000002,0.0,0.4754285714285714
00cf471ed1aa42a8bdde5561d67da2b1,-0.12074545454545453,-0.15719999999999998,-0.31439999999999996,-0.07859999999999999,-0.1311020408163265,-0.15719999999999998,-0.31439999999999996,-0.15719999999999998
00d6dc87be4146ceb47fcd4baaaf6477,-2.0294,0.0030999999999998806,-3.4279428571428574,-1.0147,-2.899142857142857,-0.20628888888888924,0.0,-2.0294
00d791e20c564add8056498e40eb56cc,-0.16219999999999998,0.030400000000000028,0.5498857142857144,-0.08109999999999999,0.029918367346938788,-0.16219999999999998,0.09480000000000004,-0.16219999999999998
00d7c95f793a4212af44e632fdc1e431,0.0,0.5878,2.4971428571428573,0.0,0.0,0.8313333333333335,0.0,0.0
00d91c5919514448bc4f718e4e3f26ab,0.42299999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00e20b4ca129458aaab0f4727ef3513a,-0.362,-0.1964,-0.724,-0.181,-0.5171428571428571,0.8925384615384612,-0.724,-0.362
00e52682848542c3a6f59b7824e9a5c5,0.0,0.0,0.0,0.12816666666666668,0.0,0.0,0.0,0.0
00e8d701c583461e81cc10053681a12b,-0.23920000000000002,0.0,-0.47840000000000005,-0.11960000000000001,-0.03681632653061229,-0.23920000000000002,-0.47840000000000005,-0.23920000000000002
00e9f403afa641889cd034ee7c7ca6e9,-0.7918000000000001,-0.7918000000000001,-1.5836000000000001,0.09126666666666657,0.3567142857142857,-0.7918000000000001,-1.5836000000000001,-0.7918000000000001
00ed7e22b32749cfafbfd88592d401d4,0.0,0.0,1.842285714285714,0.0,0.0,1.4324444444444444,0.0,0.0
00ee2ca6421c4af0aeca60a1b3e00f6c,0.0,0.0,0.0,0.0,0.0,0.044777777777777784,0.0,0.0
00ee69db83964d6da32f8109b32a1ce7,0.06453846153846154,0.0,0.0,0.0,0.0,0.0,0.2136,0.0
00fac72fd6ad448e8019b175267023df,0.8591428571428571,0.0,0.0,0.21659375,0.0,0.0,0.0,0.0
00fbb9b5edb94f02afbaf1eb49bb4d7d,-0.42391428571428574,-0.6392,-1.2784,-0.3196,-0.9131428571428571,-0.6392,-1.2784,-0.6392
00fdd4416dec40b49180814c0a7c8d76,-0.9098,-0.9098,-1.8196,-0.4549,-1.2997142857142858,-0.39046666666666674,-1.8196,-0.9098
0100dbd4e8554aa69b73b6ac0547f6bf,-0.027999999999999997,-0.027999999999999997,-0.055999999999999994,-0.013999999999999999,-0.039999999999999994,-0.027999999999999997,-0.055999999999999994,-0.027999999999999997
0103de989e084e0fab400e80678d7591,-1.4166000000000003,-1.4166000000000003,-2.8332000000000006,-0.7083000000000002,-2.023714285714286,-0.17060000000000014,-1.2432000000000003,-1.4166000000000003
0106d19a26af41288035afc4b9b6c2c2,-0.0264,-0.0264,-0.0528,-0.0132,-0.037714285714285714,-0.0264,0.30279999999999996,-0.0264
01162252405b4524a8fa1bf8e6d5f04b,-0.2916,-0.37920000000000004,-0.7584000000000001,-0.18960000000000002,0.38879591836734695,-0.37920000000000004,-0.7584000000000001,-0.37920000000000004
01176ee7289b48e39ee6261d5c071a07,-0.20620000000000002,-0.20620000000000002,-0.41240000000000004,-0.10310000000000001,-0.22822222222222227,-0.14910000000000004,-0.41240000000000004,-0.20620000000000002
