id,Avg Daily spending,Highest daily spending,Lowest daily spending,count days no spending,count days spending 0_to_5,count days spending 5_to_10,count days spending 10_to_15,count days spending 15_to_20,count days spending 20_plus,std_daily_spending
0009655768c64bdeb2e877511632db8f,4.253333333333333,28.16,8.57,22.0,0.0,1.0,1.0,1.0,2.0,7.86723249474914
0011e0d4e6b944f998e987f904e8c1e5,2.6486666666666667,23.03,8.96,25.0,0.0,1.0,1.0,0.0,2.0,6.461309109019537
0020c2b971eb4e9188eac86d93036a77,6.562,49.63,17.24,24.0,0.0,0.0,0.0,1.0,5.0,14.444318630162352
0020ccbbb6d84e358d3414a3ff76cffd,5.135,30.84,6.8100000000000005,19.0,0.0,3.0,3.0,2.0,1.0,7.923300318114573
003d66b6608740288d6cc97a6903f4f0,1.6113333333333333,9.6,0.44,16.0,11.0,3.0,3.0,0.0,0.0,2.5485746298035226
00426fe3ffde4c6b9cb9ad6d077a13ea,2.283666666666667,16.97,0.97,18.0,7.0,3.0,3.0,1.0,0.0,4.12393474925246
004b041fbfe44859945daa2c7f79ee64,4.612,45.41,19.48,25.0,0.0,0.0,0.0,2.0,3.0,11.1981184995978
004c5799adbf42868b9cff0396190900,11.57933333333333,71.5,22.22,21.0,0.0,0.0,0.0,0.0,9.0,19.85560980981295
005500a7188546ff8a767329a2f7c76a,0.6786666666666666,10.65,4.39,27.0,1.0,1.0,1.0,0.0,0.0,2.252809331713954
0056df74b63b4298809f0b375a304cf4,4.804666666666666,29.89,27.59,25.0,0.0,0.0,0.0,0.0,5.0,10.934363653443539
00715b6e55c3431cb56ff7307eb19675,12.503999999999998,54.54,11.49,17.0,0.0,0.0,0.0,1.0,11.0,16.349256779480204
0082fd87c18f45f2be70dbcbb0fb8aad,4.0616666666666665,24.59,8.95,23.0,0.0,1.0,1.0,3.0,2.0,7.856489996014202
00840a2ca5d2408e982d56544dc14ffd,2.097666666666667,8.4,0.29,14.0,9.0,7.0,7.0,0.0,0.0,2.6960848796284065
00857b24b13f4fe0ad17b605f00357f5,0.20866666666666667,2.81,0.7000000000000001,26.0,4.0,0.0,0.0,0.0,0.0,0.6240453859120831
008d7088107b468893889da0ede0df5c,0.5393333333333333,5.1,1.06,25.0,4.0,1.0,1.0,0.0,0.0,1.3477258836541148
0091d2b6a5ea4defaa8393e4e816db60,9.305333333333332,49.22,12.84,21.0,0.0,0.0,0.0,1.0,7.0,15.658862805702595
0099bf30e4cb4265875266eb3eb25eab,3.5276666666666663,73.28999999999998,1.13,23.0,3.0,2.0,2.0,0.0,1.0,13.442929094645937
